Cidade,Faixa_Etaria,Genero,KPI_Volume_Demanda,KPI_Taxa_Conversao,KPI_Score_Propensao
ALVARES FLORENCE,18-21 ANOS,MASCULINO,19.0,0.9048,0.8739
ALVARES FLORENCE,22-25 ANOS,FEMININO,22.0,0.5366,0.4714
ALVARES FLORENCE,22-25 ANOS,MASCULINO,23.0,0.5,0.4761
ALVARES FLORENCE,26-30 ANOS,FEMININO,7.0,0.1029,0.1186
ALVARES FLORENCE,26-30 ANOS,MASCULINO,9.0,0.1343,0.1414
ALVARES FLORENCE,31-40 ANOS,FEMININO,9.0,0.0612,0.065
ALVARES FLORENCE,31-40 ANOS,MASCULINO,21.0,0.1667,0.1539
ALVARES FLORENCE,41-50 ANOS,FEMININO,4.0,0.0331,0.0363
ALVARES FLORENCE,41-50 ANOS,MASCULINO,3.0,0.0309,0.0447
ALVARES FLORENCE,51-60 ANOS,FEMININO,3.0,0.0273,0.0284
ALVARES FLORENCE,51-60 ANOS,MASCULINO,5.0,0.0562,0.0471
ALVARES FLORENCE,61-70 ANOS,FEMININO,1.0,0.0115,0.0092
ALVARES FLORENCE,61-70 ANOS,MASCULINO,0.0,0.0,0.0122
ALVARES FLORENCE,71-80 ANOS,FEMININO,0.0,0.0,0.0007
ALVARES FLORENCE,71-80 ANOS,MASCULINO,1.0,0.0108,0.0081
ALVARES FLORENCE,81-90 ANOS,FEMININO,0.0,0.0,0.0
ALVARES FLORENCE,81-90 ANOS,MASCULINO,0.0,0.0,0.0
ALVARES FLORENCE,91-100 ANOS,MASCULINO,0.0,0.0,0.0
ALVARES MACHADO,101-120 ANOS,MASCULINO,0.0,0.0,0.0
ALVARES MACHADO,18-21 ANOS,FEMININO,197.0,0.7912,0.8205
ALVARES MACHADO,18-21 ANOS,MASCULINO,237.0,0.8316,0.8129
ALVARES MACHADO,22-25 ANOS,FEMININO,107.0,0.3252,0.3377
ALVARES MACHADO,22-25 ANOS,MASCULINO,114.0,0.2721,0.3134
ALVARES MACHADO,26-30 ANOS,FEMININO,69.0,0.1208,0.119
ALVARES MACHADO,26-30 ANOS,MASCULINO,93.0,0.1512,0.1423
ALVARES MACHADO,31-40 ANOS,FEMININO,76.0,0.06,0.0591
ALVARES MACHADO,31-40 ANOS,MASCULINO,109.0,0.0911,0.1136
ALVARES MACHADO,41-50 ANOS,FEMININO,48.0,0.0423,0.0381
ALVARES MACHADO,41-50 ANOS,MASCULINO,69.0,0.0714,0.0608
ALVARES MACHADO,51-60 ANOS,FEMININO,29.0,0.0363,0.0378
ALVARES MACHADO,51-60 ANOS,MASCULINO,32.0,0.0463,0.0445
ALVARES MACHADO,61-70 ANOS,FEMININO,4.0,0.0078,0.0132
ALVARES MACHADO,61-70 ANOS,MASCULINO,15.0,0.0278,0.0202
ALVARES MACHADO,71-80 ANOS,FEMININO,1.0,0.0058,0.0032
ALVARES MACHADO,71-80 ANOS,MASCULINO,3.0,0.0074,0.008
ALVARES MACHADO,81-90 ANOS,FEMININO,0.0,0.0,0.0
ALVARES MACHADO,81-90 ANOS,MASCULINO,0.0,0.0,0.0
ALVARES MACHADO,91-100 ANOS,FEMININO,0.0,0.0,0.0
ALVARES MACHADO,91-100 ANOS,MASCULINO,0.0,0.0,0.0
ALVARO DE CARVALHO,18-21 ANOS,FEMININO,8.0,0.3636,0.442
ALVARO DE CARVALHO,18-21 ANOS,MASCULINO,11.0,0.3056,0.4099
ALVARO DE CARVALHO,22-25 ANOS,FEMININO,9.0,0.2812,0.243
ALVARO DE CARVALHO,22-25 ANOS,MASCULINO,4.0,0.0952,0.1725
ALVARO DE CARVALHO,26-30 ANOS,FEMININO,6.0,0.12,0.1157
ALVARO DE CARVALHO,26-30 ANOS,MASCULINO,7.0,0.0921,0.1133
ALVARO DE CARVALHO,31-40 ANOS,FEMININO,4.0,0.0357,0.0438
ALVARO DE CARVALHO,31-40 ANOS,MASCULINO,11.0,0.0965,0.1007
ALVARO DE CARVALHO,41-50 ANOS,FEMININO,2.0,0.0198,0.0298
ALVARO DE CARVALHO,41-50 ANOS,MASCULINO,6.0,0.0698,0.0645
ALVARO DE CARVALHO,51-60 ANOS,FEMININO,3.0,0.0652,0.057
ALVARO DE CARVALHO,51-60 ANOS,MASCULINO,0.0,0.0,0.0194
